code,base_code,method,source_declared,source_log,run_dir,summary_json,summary_exists,prompt_verified,changed_spans,span_source,generation_index,beam_index,selected_by_optimizer,selection_note
tacred_gemma_rpo_node_y_gradpo-gen,tacred_gemma_rpo_node_y,gradpo-gen,tanvirg1.txt node 2,codes/nohup_outs/tanvirg1.txt,../gradients_experiments/20260519_235138_llm_cand_sugg_beam5_C5_Q1_stdp2.0_px_0.5_log_r3_er_0.6_mt3_sz30000_20260508_120655_google-gemma-3-4b-it_node18_v8,gradients_experiments/20260519_235138_llm_cand_sugg_beam5_C5_Q1_stdp2.0_px_0.5_log_r3_er_0.6_mt3_sz30000_20260508_120655_google-gemma-3-4b-it_node18_v8/summary.json,False,False,1,source log selected/hinted beam_node,2,2,True,stored prompt is optimizer-selected
tacred_gemma_evoprompt_node_x_gradpo-prob,tacred_gemma_evoprompt_node_x,gradpo-prob,codes/nohup_outs/tanvirevog1.txt,codes/nohup_outs/tanvirevog1.txt,../gradients_experiments/20260520_131005_superstart_llm_prob_beam5_C5_Q1_stdp2.0_px_0.5_log_r5_er_0.6_mt1_top0.95_sz30000_20260513_093554_google-gemma-3-4b-it_node26_v9,gradients_experiments/20260520_131005_superstart_llm_prob_beam5_C5_Q1_stdp2.0_px_0.5_log_r5_er_0.6_mt1_top0.95_sz30000_20260513_093554_google-gemma-3-4b-it_node26_v9/summary.json,False,True,1,source log selected/hinted beam_node,2,2,True,stored prompt is optimizer-selected
tacred_gemma_evoprompt_node_y_gradpo-gen,tacred_gemma_evoprompt_node_y,gradpo-gen,nohup_outs/superstart_evoprompt_llm_cand_sugg_beam5_C5_Q1_stdp2.0_px_0.5_log_r3_er_0.6_mt3_sz30000_20260508_120655_google-gemma-3-4b-it_node34_v8.out,codes/nohup_outs/superstart_evoprompt_llm_cand_sugg_beam5_C5_Q1_stdp2.0_px_0.5_log_r3_er_0.6_mt3_sz30000_20260508_120655_google-gemma-3-4b-it_node34_v8.out,../gradients_experiments/20260520_070636_superstart_evoprompt_llm_cand_sugg_beam5_C5_Q1_stdp2.0_px_0.5_log_r3_er_0.6_mt3_sz30000_20260508_120655_google-gemma-3-4b-it_node34_v8,gradients_experiments/20260520_070636_superstart_evoprompt_llm_cand_sugg_beam5_C5_Q1_stdp2.0_px_0.5_log_r3_er_0.6_mt3_sz30000_20260508_120655_google-gemma-3-4b-it_node34_v8/summary.json,True,True,3,summary.json matching beam node,4,4,True,stored prompt is optimizer-selected
tacred_gemma_evoprompt_node_y_gradpo-prob,tacred_gemma_evoprompt_node_y,gradpo-prob,codes/nohup_outs/tanvirevog2.txt,codes/nohup_outs/tanvirevog2.txt,../gradients_experiments/20260520_141412_superstart_llm_prob_beam5_C5_Q1_stdp2.0_px_0.5_log_r5_er_0.6_mt1_top0.95_sz30000_20260513_093554_google-gemma-3-4b-it_node34_v9,gradients_experiments/20260520_141412_superstart_llm_prob_beam5_C5_Q1_stdp2.0_px_0.5_log_r5_er_0.6_mt1_top0.95_sz30000_20260513_093554_google-gemma-3-4b-it_node34_v9/summary.json,False,True,1,source log selected/hinted beam_node,3,3,True,stored prompt is optimizer-selected
tacred_gemma_etgpo_node_x_gradpo-gen,tacred_gemma_etgpo_node_x,gradpo-gen,codes/nohup_outs/amlan_m1_round4_etgpo1.txt,codes/nohup_outs/amlan_m1_round4_etgpo1.txt,../gradients_experiments/20260522_100031_superstart_etgpo_llm_cand_sugg_beam5_C5_Q1_stdp2.0_px_0.5_log_r3_er_0.6_mt3_sz30000_unified_opt_fs_tacred_20260514_025450_google-gemma-3-4b-it_node1_v8,gradients_experiments/20260522_100031_superstart_etgpo_llm_cand_sugg_beam5_C5_Q1_stdp2.0_px_0.5_log_r3_er_0.6_mt3_sz30000_unified_opt_fs_tacred_20260514_025450_google-gemma-3-4b-it_node1_v8/summary.json,False,True,2,source log selected/hinted beam_node,1,1,True,stored prompt is optimizer-selected
fewrel_qwen_rpo_node_x_gradpo-gen,fewrel_qwen_rpo_node_x,gradpo-gen,codes/nohup_outs/fewrel_superstart_rpo_gradpo_node3_20260517_021906_Qwen.out,codes/nohup_outs/fewrel_superstart_rpo_gradpo_node3_20260517_021906_Qwen.out,../gradients_experiments/20260520_212114_fewrel_superstart_rpo_gradpo_node3_20260517_021906_Qwen,gradients_experiments/20260520_212114_fewrel_superstart_rpo_gradpo_node3_20260517_021906_Qwen/summary.json,True,True,4,summary.json matching beam node,1,1,True,stored prompt is optimizer-selected
fewrel_qwen_rpo_node_y_gradpo-gen,fewrel_qwen_rpo_node_y,gradpo-gen,nohup_outs/fewrel_superstart_rpo_gradpo_node13_20260517_021906_Qwen.out,codes/nohup_outs/fewrel_superstart_rpo_gradpo_node13_20260517_021906_Qwen.out,../gradients_experiments/20260521_001908_fewrel_superstart_rpo_gradpo_node13_20260517_021906_Qwen,gradients_experiments/20260521_001908_fewrel_superstart_rpo_gradpo_node13_20260517_021906_Qwen/summary.json,True,True,4,summary.json matching beam node,0,0,True,stored prompt is optimizer-selected
fewrel_qwen_rpo_node_y_gradpo-prob,fewrel_qwen_rpo_node_y,gradpo-prob,nohup_outs/fewrel_superstart_rpo_gradpo_prob_node13_20260517_021906_Qwen.out (marked),codes/nohup_outs/fewrel_superstart_rpo_gradpo_prob_node13_20260517_021906_Qwen.out,../gradients_experiments/20260520_230235_fewrel_superstart_rpo_gradpo_prob_node13_20260517_021906_Qwen,gradients_experiments/20260520_230235_fewrel_superstart_rpo_gradpo_prob_node13_20260517_021906_Qwen/summary.json,True,True,2,summary.json matching beam node,,1,False,stored prompt is a retained/evaluated but non-selected candidate
fewrel_qwen_evoprompt_node_x_gradpo-prob,fewrel_qwen_evoprompt_node_x,gradpo-prob,codes/nohup_outs/fewrel_superstart_evoprompt_gradpo_prob_node25_20260517_193615_Qwen.out,codes/nohup_outs/fewrel_superstart_evoprompt_gradpo_prob_node25_20260517_193615_Qwen.out,../gradients_experiments/20260520_201550_fewrel_superstart_evoprompt_gradpo_prob_node25_20260517_193615_Qwen,gradients_experiments/20260520_201550_fewrel_superstart_evoprompt_gradpo_prob_node25_20260517_193615_Qwen/summary.json,True,True,4,summary.json matching beam node,0,0,True,stored prompt is optimizer-selected
fewrel_qwen_etgpo_node_x_gradpo-gen,fewrel_qwen_etgpo_node_x,gradpo-gen,codes/nohup_outs/amlan_m2_round2_few1.txt,codes/nohup_outs/amlan_m2_round2_few1.txt,../gradients_experiments/20260521_063629_fewrel_superstart_etgpo_gradpo_node0_unified_opt_fs_fewrel_20260517_023848_Qwen,gradients_experiments/20260521_063629_fewrel_superstart_etgpo_gradpo_node0_unified_opt_fs_fewrel_20260517_023848_Qwen/summary.json,False,True,3,source log selected/hinted beam_node,1,1,True,stored prompt is optimizer-selected
fewrel_qwen_etgpo_node_x_gradpo-prob,fewrel_qwen_etgpo_node_x,gradpo-prob,codes/nohup_outs/amlan_m2_round2_few2.txt,codes/nohup_outs/amlan_m2_round2_few2.txt,../gradients_experiments/20260521_075413_fewrel_superstart_etgpo_gradpo_prob_node0_unified_opt_fs_fewrel_20260517_023848_Qwen,gradients_experiments/20260521_075413_fewrel_superstart_etgpo_gradpo_prob_node0_unified_opt_fs_fewrel_20260517_023848_Qwen/summary.json,False,True,1,source log selected/hinted beam_node,3,3,True,stored prompt is optimizer-selected
fewrel_gemma_rpo_node_x_gradpo-gen,fewrel_gemma_rpo_node_x,gradpo-gen,codes/nohup_outs/tanvir_m2_few1.txt,codes/nohup_outs/tanvir_m2_few1.txt,../gradients_experiments/20260521_024833_fewrel_superstart_rpo_gradpo_node1_gemma_20260517_022119,gradients_experiments/20260521_024833_fewrel_superstart_rpo_gradpo_node1_gemma_20260517_022119/summary.json,False,True,3,source log selected/hinted beam_node,4,4,True,stored prompt is optimizer-selected
fewrel_gemma_rpo_node_y_gradpo-gen,fewrel_gemma_rpo_node_y,gradpo-gen,codes/nohup_outs/tanvir_m2_few2.txt,codes/nohup_outs/tanvir_m2_few2.txt,../gradients_experiments/20260521_041103_fewrel_superstart_rpo_gradpo_node7_gemma_20260517_022119,gradients_experiments/20260521_041103_fewrel_superstart_rpo_gradpo_node7_gemma_20260517_022119/summary.json,False,True,2,source log selected/hinted beam_node,1,1,True,stored prompt is optimizer-selected
fewrel_gemma_rpo_node_y_gradpo-prob,fewrel_gemma_rpo_node_y,gradpo-prob,codes/nohup_outs/amlan_m1_few2.txt,codes/nohup_outs/amlan_m1_few2.txt,../gradients_experiments/20260521_035428_fewrel_superstart_rpo_gradpo_prob_node7_gemma_20260517_022119,gradients_experiments/20260521_035428_fewrel_superstart_rpo_gradpo_prob_node7_gemma_20260517_022119/summary.json,False,True,2,source log selected/hinted beam_node,1,1,True,stored prompt is optimizer-selected
fewrel_gemma_evoprompt_node_x_gradpo-gen,fewrel_gemma_evoprompt_node_x,gradpo-gen,codes/nohup_outs/amlan_m2_few1.txt,codes/nohup_outs/amlan_m2_few1.txt,../gradients_experiments/20260521_024327_fewrel_superstart_evoprompt_gradpo_node7_gemma_20260517_193624,gradients_experiments/20260521_024327_fewrel_superstart_evoprompt_gradpo_node7_gemma_20260517_193624/summary.json,False,True,1,source log selected/hinted beam_node,1,1,True,stored prompt is optimizer-selected
fewrel_gemma_evoprompt_node_x_gradpo-prob,fewrel_gemma_evoprompt_node_x,gradpo-prob,codes/nohup_outs/amlan_m3_few1.txt,codes/nohup_outs/amlan_m3_few1.txt,../gradients_experiments/20260521_024031_fewrel_superstart_evoprompt_gradpo_prob_node7_gemma_20260517_193624,gradients_experiments/20260521_024031_fewrel_superstart_evoprompt_gradpo_prob_node7_gemma_20260517_193624/summary.json,False,True,3,source log selected/hinted beam_node,2,2,True,stored prompt is optimizer-selected
fewrel_gemma_evoprompt_node_y_gradpo-gen,fewrel_gemma_evoprompt_node_y,gradpo-gen,codes/nohup_outs/amlan_m2_few2.txt,codes/nohup_outs/amlan_m2_few2.txt,../gradients_experiments/20260521_033324_fewrel_superstart_evoprompt_gradpo_node14_gemma_20260517_193624,gradients_experiments/20260521_033324_fewrel_superstart_evoprompt_gradpo_node14_gemma_20260517_193624/summary.json,False,True,2,source log selected/hinted beam_node,4,4,True,stored prompt is optimizer-selected
fewrel_gemma_evoprompt_node_y_gradpo-prob,fewrel_gemma_evoprompt_node_y,gradpo-prob,codes/nohup_outs/amlan_m3_few2.txt,codes/nohup_outs/amlan_m3_few2.txt,../gradients_experiments/20260521_030816_fewrel_superstart_evoprompt_gradpo_prob_node14_gemma_20260517_193624,gradients_experiments/20260521_030816_fewrel_superstart_evoprompt_gradpo_prob_node14_gemma_20260517_193624/summary.json,False,True,1,source log selected/hinted beam_node,1,1,True,stored prompt is optimizer-selected
