code,base_code,method,source_declared,source_log,source_resolution,run_dir_declared,run_dir_resolved,run_dir_exists,summary_json,summary_exists,steps_jsonl,steps_exists,prompt_found_in_log,score_source,candidate_rank,accepted_by_optimizer,selection_note,precision,precision_std,recall,recall_std,f1,f1_std,stable_f1,spans_changed,span_evidence,selected_token
tacred_qwen_etgpo_node_x_lpo,tacred_qwen_etgpo_node_x,lpo,codes/nohup_outs/amlan_m3_round5_etgpo2.txt,codes/nohup_outs/amlan_m3_round5_etgpo2.txt,declared,../lpo_experiments/20260522_081936_superstart_lpo_roleswitch_node2_step1_n1000_qwen4_optqwen14_unified_opt_fs_tacred_20260513_230331,lpo_experiments/20260522_081936_superstart_lpo_roleswitch_node2_step1_n1000_qwen4_optqwen14_unified_opt_fs_tacred_20260513_230331,False,lpo_experiments/20260522_081936_superstart_lpo_roleswitch_node2_step1_n1000_qwen4_optqwen14_unified_opt_fs_tacred_20260513_230331/summary.json,False,lpo_experiments/20260522_081936_superstart_lpo_roleswitch_node2_step1_n1000_qwen4_optqwen14_unified_opt_fs_tacred_20260513_230331/steps.jsonl,False,True,matching dev candidate,,True,stored prompt selected by LPO source workflow,23.45,2.41,49.25,4.90,31.71,2.98,25.75,4,source log: location tagging locations=N,
tacred_qwen_etgpo_node_x_greater,tacred_qwen_etgpo_node_x,greater,codes/nohup_outs/amlan_m2_round5_etgpo2.txt,codes/nohup_outs/amlan_m2_round5_etgpo2.txt,declared,../greater_experiments/20260522_075719_superstart_etgpo_greater_node2_1steps_lmd0.2_qwen4_unified_opt_fs_tacred_20260513_230331,greater_experiments/20260522_075719_superstart_etgpo_greater_node2_1steps_lmd0.2_qwen4_unified_opt_fs_tacred_20260513_230331,False,greater_experiments/20260522_075719_superstart_etgpo_greater_node2_1steps_lmd0.2_qwen4_unified_opt_fs_tacred_20260513_230331/summary.json,False,greater_experiments/20260522_075719_superstart_etgpo_greater_node2_1steps_lmd0.2_qwen4_unified_opt_fs_tacred_20260513_230331/steps.jsonl,False,True,selected top-z dev candidate,1,True,stored prompt matched selected candidate in source log,22.64,3.40,53.38,5.48,31.75,4.19,23.36,1,algorithm/artifact: one evaluated token location; acceptance reported separately,'Given'
tacred_qwen_etgpo_node_x_greater-tg,tacred_qwen_etgpo_node_x,greater-tg,codes/nohup_outs/amlan_m2_round5_etgpo1.txt,codes/nohup_outs/amlan_m2_round5_etgpo1.txt,declared,../greater_experiments/20260522_061926_superstart_etgpo_greater_topgrad_node2_1steps_lmd0.2_qwen4_unified_opt_fs_tacred_20260513_230331,greater_experiments/20260522_061926_superstart_etgpo_greater_topgrad_node2_1steps_lmd0.2_qwen4_unified_opt_fs_tacred_20260513_230331,False,greater_experiments/20260522_061926_superstart_etgpo_greater_topgrad_node2_1steps_lmd0.2_qwen4_unified_opt_fs_tacred_20260513_230331/summary.json,False,greater_experiments/20260522_061926_superstart_etgpo_greater_topgrad_node2_1steps_lmd0.2_qwen4_unified_opt_fs_tacred_20260513_230331/steps.jsonl,False,True,selected top-z dev candidate,2,True,stored prompt matched selected candidate in source log,33.57,5.45,42.39,4.61,37.38,5.03,27.31,1,algorithm/artifact: one evaluated token location; acceptance reported separately,'none'
tacred_gemma_rpo_node_x_lpo,tacred_gemma_rpo_node_x,lpo,codes/nohup_outs/amlan_m1_round3_lpo3.txt,codes/nohup_outs/amlan_m1_round3_lpo3.txt,declared,../lpo_experiments/20260522_035754_superstart_lpo_roleswitch_node3_step1_n1000_gemma4_optgemma12,lpo_experiments/20260522_035754_superstart_lpo_roleswitch_node3_step1_n1000_gemma4_optgemma12,False,lpo_experiments/20260522_035754_superstart_lpo_roleswitch_node3_step1_n1000_gemma4_optgemma12/summary.json,False,lpo_experiments/20260522_035754_superstart_lpo_roleswitch_node3_step1_n1000_gemma4_optgemma12/steps.jsonl,False,True,matching dev candidate,,True,stored prompt selected by LPO source workflow,22.74,3.64,21.09,5.61,21.82,4.70,12.41,2,source log: location tagging locations=N,
tacred_gemma_rpo_node_x_greater,tacred_gemma_rpo_node_x,greater,codes/nohup_outs/greater_seq_node3_1steps_n30000_lmd0.2_k25_u10_z5_gemma4.out,codes/nohup_outs/greater_seq_node3_1steps_n30000_lmd0.2_k25_u10_z5_gemma4.out,declared,../greater_experiments/20260514_215511_topgrad_node3_1steps_lmd0.2_gemma4,greater_experiments/20260514_215511_topgrad_node3_1steps_lmd0.2_gemma4,True,greater_experiments/20260514_215511_topgrad_node3_1steps_lmd0.2_gemma4/summary.json,True,greater_experiments/20260514_215511_topgrad_node3_1steps_lmd0.2_gemma4/steps.jsonl,True,True,steps.jsonl matching top-z evaluation,3,True,stored prompt is the accepted top-z selection,22.655999859647277,1.2196113350763205,18.59425962165688,3.2221392382362475,20.32655812603571,2.3342442561389554,15.6580696137578,1,algorithm/artifact: one evaluated token location; acceptance reported separately,Class
tacred_gemma_rpo_node_y_greater,tacred_gemma_rpo_node_y,greater,nohup_outs/greater_seq_node18_1steps_n30000_lmd0.2_k25_u10_z5_gemma4.out,codes/nohup_outs/greater_seq_node18_1steps_n30000_lmd0.2_k25_u10_z5_gemma4.out,declared,../greater_experiments/20260514_220441_topgrad_node18_1steps_lmd0.2_gemma4,greater_experiments/20260514_220441_topgrad_node18_1steps_lmd0.2_gemma4,True,greater_experiments/20260514_220441_topgrad_node18_1steps_lmd0.2_gemma4/summary.json,True,greater_experiments/20260514_220441_topgrad_node18_1steps_lmd0.2_gemma4/steps.jsonl,True,True,steps.jsonl matching top-z evaluation,5,True,stored prompt is the accepted top-z selection,16.48146972742339,2.0288477656011987,33.51761252446184,5.6314292824414665,22.08222576643629,3.0277909859659373,16.026643794504416,1,algorithm/artifact: one evaluated token location; acceptance reported separately,Relation
tacred_gemma_rpo_node_y_greater-tg,tacred_gemma_rpo_node_y,greater-tg,codes/nohup_outs/greater_topgrad_node18_1steps_n30000_lmd0.2_k25_u10_z5_gemma4_.out,codes/nohup_outs/greater_topgrad_node18_1steps_n30000_lmd0.2_k25_u10_z5_gemma4_.out,declared,../greater_experiments/20260515_055337_topgrad2_node18_1steps_lmd0.2_gemma4_,greater_experiments/20260515_055337_topgrad2_node18_1steps_lmd0.2_gemma4_,True,greater_experiments/20260515_055337_topgrad2_node18_1steps_lmd0.2_gemma4_/summary.json,True,greater_experiments/20260515_055337_topgrad2_node18_1steps_lmd0.2_gemma4_/steps.jsonl,True,True,steps.jsonl matching top-z evaluation,1,True,stored prompt is the accepted top-z selection,14.261163672928381,1.6299228679961955,33.63666014350946,4.705880389623384,20.002618797033346,2.363776541370728,15.275065714291891,1,algorithm/artifact: one evaluated token location; acceptance reported separately,"""!"
tacred_gemma_evoprompt_node_x_lpo,tacred_gemma_evoprompt_node_x,lpo,codes/nohup_outs/amlan_m2_round3_lpo2.txt,codes/nohup_outs/amlan_m2_round3_lpo2.txt,declared,../lpo_experiments/20260522_001758_superstart_lpo_roleswitch_node26_step1_n1000_gemma4_optgemma12_20260513_093554,lpo_experiments/20260522_001758_superstart_lpo_roleswitch_node26_step1_n1000_gemma4_optgemma12_20260513_093554,False,lpo_experiments/20260522_001758_superstart_lpo_roleswitch_node26_step1_n1000_gemma4_optgemma12_20260513_093554/summary.json,False,lpo_experiments/20260522_001758_superstart_lpo_roleswitch_node26_step1_n1000_gemma4_optgemma12_20260513_093554/steps.jsonl,False,True,matching dev candidate,,True,stored prompt selected by LPO source workflow,20.97,0.51,25.14,1.58,22.84,0.64,21.55,4,source log: location tagging locations=N,
tacred_gemma_evoprompt_node_x_greater-tg,tacred_gemma_evoprompt_node_x,greater-tg,nohup_outs/superstart_greater_topgrad_node26_1steps_lmd0.2_gemma4_20260513_093554.out,codes/nohup_outs/superstart_greater_topgrad_node26_1steps_lmd0.2_gemma4_20260513_093554.out,declared,../greater_experiments/20260520_111206_superstart_greater_topgrad_node26_1steps_lmd0.2_gemma4_20260513_093554,greater_experiments/20260520_111206_superstart_greater_topgrad_node26_1steps_lmd0.2_gemma4_20260513_093554,True,greater_experiments/20260520_111206_superstart_greater_topgrad_node26_1steps_lmd0.2_gemma4_20260513_093554/summary.json,True,greater_experiments/20260520_111206_superstart_greater_topgrad_node26_1steps_lmd0.2_gemma4_20260513_093554/steps.jsonl,True,True,steps.jsonl matching top-z evaluation,5,True,stored prompt is the accepted top-z selection,15.489236790606654,0.3463114611463472,31.71232876712329,1.1514712136256313,20.802706248715637,0.3586998473261516,20.085306554063333,1,algorithm/artifact: one evaluated token location; acceptance reported separately,from
tacred_gemma_evoprompt_node_y_lpo,tacred_gemma_evoprompt_node_y,lpo,codes/nohup_outs/amlan_m2_round3_lpo3.txt,codes/nohup_outs/amlan_m2_round3_lpo3.txt,declared,../lpo_experiments/20260522_011040_superstart_lpo_roleswitch_node34_step1_n1000_gemma4_optgemma12_20260513_093554,lpo_experiments/20260522_011040_superstart_lpo_roleswitch_node34_step1_n1000_gemma4_optgemma12_20260513_093554,False,lpo_experiments/20260522_011040_superstart_lpo_roleswitch_node34_step1_n1000_gemma4_optgemma12_20260513_093554/summary.json,False,lpo_experiments/20260522_011040_superstart_lpo_roleswitch_node34_step1_n1000_gemma4_optgemma12_20260513_093554/steps.jsonl,False,True,highest stable-F1 dev candidate fallback,,True,stored prompt selected by LPO source workflow,24.85,0.21,25.14,1.58,24.97,0.79,23.39,5,source log: location tagging locations=N,
tacred_gemma_evoprompt_node_y_greater,tacred_gemma_evoprompt_node_y,greater,codes/nohup_outs/aunabil_m2_evo_greater2.txt,codes/nohup_outs/aunabil_m2_evo_greater2.txt,declared,../greater_experiments/20260520_182346_superstart_greater_seq_node34_1steps_lmd0.2_gemma4_20260513_093554,greater_experiments/20260520_182346_superstart_greater_seq_node34_1steps_lmd0.2_gemma4_20260513_093554,False,greater_experiments/20260520_182346_superstart_greater_seq_node34_1steps_lmd0.2_gemma4_20260513_093554/summary.json,False,greater_experiments/20260520_182346_superstart_greater_seq_node34_1steps_lmd0.2_gemma4_20260513_093554/steps.jsonl,False,True,selected top-z dev candidate,5,True,stored prompt matched selected candidate in source log,21.98,1.47,22.19,0.75,22.06,0.97,20.12,1,algorithm/artifact: one evaluated token location; acceptance reported separately,'This'
tacred_gemma_evoprompt_node_y_greater-tg,tacred_gemma_evoprompt_node_y,greater-tg,nohup_outs/superstart_greater_topgrad_node34_1steps_lmd0.2_gemma4_20260513_093554.out,codes/nohup_outs/superstart_greater_topgrad_node34_1steps_lmd0.2_gemma4_20260513_093554.out,declared,../greater_experiments/20260520_115040_superstart_greater_topgrad_node34_1steps_lmd0.2_gemma4_20260513_093554,greater_experiments/20260520_115040_superstart_greater_topgrad_node34_1steps_lmd0.2_gemma4_20260513_093554,True,greater_experiments/20260520_115040_superstart_greater_topgrad_node34_1steps_lmd0.2_gemma4_20260513_093554/summary.json,True,greater_experiments/20260520_115040_superstart_greater_topgrad_node34_1steps_lmd0.2_gemma4_20260513_093554/steps.jsonl,True,True,steps.jsonl matching top-z evaluation,4,True,stored prompt is the accepted top-z selection,23.933172302737518,1.0350129556043004,22.663078930202214,0.5467839790598951,23.25509340426818,0.20931878690280417,22.836455830462572,1,algorithm/artifact: one evaluated token location; acceptance reported separately,""""
tacred_gemma_etgpo_node_x_lpo,tacred_gemma_etgpo_node_x,lpo,codes/nohup_outs/amlan_m3_round5_etgpo3.txt,codes/nohup_outs/amlan_m3_round5_etgpo3.txt,declared,../lpo_experiments/20260522_093947_superstart_etgpo_lpo_roleswitch_node1_step1_n1000_gemma4_optgemma12_unified_opt_fs_tacred_20260514_025450_ultra,lpo_experiments/20260522_093947_superstart_etgpo_lpo_roleswitch_node1_step1_n1000_gemma4_optgemma12_unified_opt_fs_tacred_20260514_025450_ultra,False,lpo_experiments/20260522_093947_superstart_etgpo_lpo_roleswitch_node1_step1_n1000_gemma4_optgemma12_unified_opt_fs_tacred_20260514_025450_ultra/summary.json,False,lpo_experiments/20260522_093947_superstart_etgpo_lpo_roleswitch_node1_step1_n1000_gemma4_optgemma12_unified_opt_fs_tacred_20260514_025450_ultra/steps.jsonl,False,True,matching dev candidate,,True,stored prompt selected by LPO source workflow,18.21,2.09,33.58,1.54,23.56,2.04,19.48,3,source log: location tagging locations=N,
fewrel_qwen_rpo_node_x_lpo,fewrel_qwen_rpo_node_x,lpo,codes/nohup_outs/fewrel_superstart_rpo_lpo_node3_20260517_021906_Qwen_ultra.out,codes/nohup_outs/fewrel_superstart_rpo_lpo_node3_20260517_021906_Qwen_ultra.out,declared,../lpo_experiments/20260521_171918_fewrel_superstart_rpo_lpo_node3_20260517_021906_Qwen_ultra,lpo_experiments/20260521_171918_fewrel_superstart_rpo_lpo_node3_20260517_021906_Qwen_ultra,True,lpo_experiments/20260521_171918_fewrel_superstart_rpo_lpo_node3_20260517_021906_Qwen_ultra/summary.json,True,lpo_experiments/20260521_171918_fewrel_superstart_rpo_lpo_node3_20260517_021906_Qwen_ultra/steps.jsonl,True,True,matching dev candidate,,True,stored prompt selected by LPO source workflow,41.25,2.98,21.54,1.15,28.25,1.19,25.87,3,source log: location tagging locations=N,
fewrel_qwen_rpo_node_x_greater,fewrel_qwen_rpo_node_x,greater,codes/nohup_outs/fewrel_superstart_rpo_greater_node3_20260517_021906_Qwen.out,codes/nohup_outs/fewrel_superstart_rpo_greater_node3_20260517_021906_Qwen.out,declared,../greater_experiments/20260520_204800_fewrel_superstart_rpo_greater_node3_20260517_021906_Qwen,greater_experiments/20260520_204800_fewrel_superstart_rpo_greater_node3_20260517_021906_Qwen,True,greater_experiments/20260520_204800_fewrel_superstart_rpo_greater_node3_20260517_021906_Qwen/summary.json,True,greater_experiments/20260520_204800_fewrel_superstart_rpo_greater_node3_20260517_021906_Qwen/steps.jsonl,True,True,steps.jsonl matching top-z evaluation,3,True,stored prompt is the accepted top-z selection,37.445444541501004,1.4099616231061873,21.29548662421321,0.5110860274897397,27.128436838713572,0.23731582629317252,26.653805186127226,1,algorithm/artifact: one evaluated token location; acceptance reported separately,To
fewrel_qwen_rpo_node_y_greater-tg,fewrel_qwen_rpo_node_y,greater-tg,nohup_outs/fewrel_superstart_rpo_greater_topgrad_node13_20260517_021906_Qwen.out (marked),codes/nohup_outs/fewrel_superstart_rpo_greater_topgrad_node13_20260517_021906_Qwen.out,declared,../greater_experiments/20260520_212426_fewrel_superstart_rpo_greater_topgrad_node13_20260517_021906_Qwen,greater_experiments/20260520_212426_fewrel_superstart_rpo_greater_topgrad_node13_20260517_021906_Qwen,True,greater_experiments/20260520_212426_fewrel_superstart_rpo_greater_topgrad_node13_20260517_021906_Qwen/summary.json,True,greater_experiments/20260520_212426_fewrel_superstart_rpo_greater_topgrad_node13_20260517_021906_Qwen/steps.jsonl,True,True,steps.jsonl matching top-z evaluation,4,False,stored prompt is an evaluated but non-selected top-z candidate,31.581429362449935,2.4437708278174104,34.43248674274777,1.1985986880752917,32.88756105657514,1.40647737269891,30.074606311177316,1,algorithm/artifact: one evaluated token location; acceptance reported separately,Do
fewrel_qwen_evoprompt_node_x_lpo,fewrel_qwen_evoprompt_node_x,lpo,codes/nohup_outs/fewrel_superstart_evoprompt_lpo_node25_20260517_193615_Qwen.out,codes/nohup_outs/fewrel_superstart_evoprompt_lpo_node25_20260517_193615_Qwen.out,declared,../lpo_experiments/20260521_193606_fewrel_superstart_evoprompt_lpo_node25_20260517_193615_Qwen,lpo_experiments/20260521_193606_fewrel_superstart_evoprompt_lpo_node25_20260517_193615_Qwen,True,lpo_experiments/20260521_193606_fewrel_superstart_evoprompt_lpo_node25_20260517_193615_Qwen/summary.json,True,lpo_experiments/20260521_193606_fewrel_superstart_evoprompt_lpo_node25_20260517_193615_Qwen/steps.jsonl,True,True,matching dev candidate,,True,stored prompt selected by LPO source workflow,24.02,1.73,30.68,2.25,26.91,1.74,23.44,5,source log: location tagging locations=N,
fewrel_qwen_evoprompt_node_x_greater,fewrel_qwen_evoprompt_node_x,greater,codes/nohup_outs/amlan_m3_round2_few1.txt,codes/nohup_outs/amlan_m3_round2_few1.txt,declared,../greater_experiments/20260521_050231_fewrel_superstart_evoprompt_greater_node25_20260517_193615_Qwen,greater_experiments/20260521_050231_fewrel_superstart_evoprompt_greater_node25_20260517_193615_Qwen,False,greater_experiments/20260521_050231_fewrel_superstart_evoprompt_greater_node25_20260517_193615_Qwen/summary.json,False,greater_experiments/20260521_050231_fewrel_superstart_evoprompt_greater_node25_20260517_193615_Qwen/steps.jsonl,False,True,selected top-z dev candidate,4,True,stored prompt matched selected candidate in source log,26.63,0.63,26.15,0.94,26.37,0.34,25.70,1,algorithm/artifact: one evaluated token location; acceptance reported separately,'Use'
fewrel_qwen_evoprompt_node_x_greater-tg,fewrel_qwen_evoprompt_node_x,greater-tg,codes/nohup_outs/amlan_m3_round2_few2.txt,codes/nohup_outs/amlan_m3_round2_few2.txt,declared,../greater_experiments/20260521_055631_fewrel_superstart_evoprompt_greater_topgrad_node25_20260517_193615_Qwen,greater_experiments/20260521_055631_fewrel_superstart_evoprompt_greater_topgrad_node25_20260517_193615_Qwen,False,greater_experiments/20260521_055631_fewrel_superstart_evoprompt_greater_topgrad_node25_20260517_193615_Qwen/summary.json,False,greater_experiments/20260521_055631_fewrel_superstart_evoprompt_greater_topgrad_node25_20260517_193615_Qwen/steps.jsonl,False,True,selected top-z dev candidate,3,True,stored prompt matched selected candidate in source log,27.59,0.42,24.08,0.74,25.70,0.27,25.17,1,algorithm/artifact: one evaluated token location; acceptance reported separately,' Read'
fewrel_qwen_etgpo_node_x_greater,fewrel_qwen_etgpo_node_x,greater,nohup_outs/fewrel_superstart_etgpo_greater_node0_unified_opt_fs_fewrel_20260517_023848_Qwen.out,codes/nohup_outs/fewrel_superstart_etgpo_greater_node0_unified_opt_fs_fewrel_20260517_023848_Qwen.out,declared,../greater_experiments/20260520_230409_fewrel_superstart_etgpo_greater_node0_unified_opt_fs_fewrel_20260517_023848_Qwen,greater_experiments/20260520_230409_fewrel_superstart_etgpo_greater_node0_unified_opt_fs_fewrel_20260517_023848_Qwen,True,greater_experiments/20260520_230409_fewrel_superstart_etgpo_greater_node0_unified_opt_fs_fewrel_20260517_023848_Qwen/summary.json,True,greater_experiments/20260520_230409_fewrel_superstart_etgpo_greater_node0_unified_opt_fs_fewrel_20260517_023848_Qwen/steps.jsonl,True,True,steps.jsonl matching top-z evaluation,3,True,stored prompt is the accepted top-z selection,32.000505241884554,0.788960399707786,24.746097132071906,0.36569675092010573,27.90276839585019,0.33651694697129453,27.229734501907604,1,algorithm/artifact: one evaluated token location; acceptance reported separately,Based
