base_code,stage2_code,second_stage,model,selected_change,char_distance,word_distance,token_distance
fewrel_gemma_rpo_node_x,fewrel_gemma_rpo_node_x_greater,greater,gemma,True,2,1,1
fewrel_gemma_rpo_node_x,fewrel_gemma_rpo_node_x_greater-tg,greater-tg,gemma,False,0,0,0
fewrel_gemma_rpo_node_y,fewrel_gemma_rpo_node_y_lpo,lpo,gemma,False,0,0,0
fewrel_gemma_rpo_node_y,fewrel_gemma_rpo_node_y_gradpo-gen,gradpo-gen,gemma,True,39,9,9
fewrel_gemma_rpo_node_y,fewrel_gemma_rpo_node_y_gradpo-prob,gradpo-prob,gemma,True,6,2,2
fewrel_gemma_rpo_node_y,fewrel_gemma_rpo_node_y_greater,greater,gemma,False,0,0,0
fewrel_gemma_rpo_node_y,fewrel_gemma_rpo_node_y_greater-tg,greater-tg,gemma,True,1,1,1
fewrel_qwen_etgpo_node_x,fewrel_qwen_etgpo_node_x_lpo,lpo,qwen,False,0,0,0
fewrel_qwen_etgpo_node_x,fewrel_qwen_etgpo_node_x_gradpo-gen,gradpo-gen,qwen,True,35,4,5
fewrel_qwen_etgpo_node_x,fewrel_qwen_etgpo_node_x_gradpo-prob,gradpo-prob,qwen,True,6,1,1
fewrel_qwen_etgpo_node_x,fewrel_qwen_etgpo_node_x_greater,greater,qwen,True,5,1,1
fewrel_qwen_etgpo_node_x,fewrel_qwen_etgpo_node_x_greater-tg,greater-tg,qwen,False,0,0,0
fewrel_qwen_evoprompt_node_x,fewrel_qwen_evoprompt_node_x_lpo,lpo,qwen,True,238,40,40
fewrel_qwen_evoprompt_node_x,fewrel_qwen_evoprompt_node_x_gradpo-gen,gradpo-gen,qwen,False,0,0,0
fewrel_qwen_evoprompt_node_x,fewrel_qwen_evoprompt_node_x_gradpo-prob,gradpo-prob,qwen,True,34,6,6
fewrel_qwen_evoprompt_node_x,fewrel_qwen_evoprompt_node_x_greater,greater,qwen,True,3,1,1
fewrel_qwen_evoprompt_node_x,fewrel_qwen_evoprompt_node_x_greater-tg,greater-tg,qwen,True,4,1,1
fewrel_qwen_rpo_node_x,fewrel_qwen_rpo_node_x_lpo,lpo,qwen,True,186,37,38
fewrel_qwen_rpo_node_x,fewrel_qwen_rpo_node_x_gradpo-gen,gradpo-gen,qwen,True,41,7,7
fewrel_qwen_rpo_node_x,fewrel_qwen_rpo_node_x_gradpo-prob,gradpo-prob,qwen,False,0,0,0
fewrel_qwen_rpo_node_x,fewrel_qwen_rpo_node_x_greater,greater,qwen,True,2,1,1
fewrel_qwen_rpo_node_x,fewrel_qwen_rpo_node_x_greater-tg,greater-tg,qwen,False,0,0,0
fewrel_qwen_rpo_node_y,fewrel_qwen_rpo_node_y_lpo,lpo,qwen,False,0,0,0
fewrel_qwen_rpo_node_y,fewrel_qwen_rpo_node_y_gradpo-gen,gradpo-gen,qwen,True,49,9,9
fewrel_qwen_rpo_node_y,fewrel_qwen_rpo_node_y_gradpo-prob,gradpo-prob,qwen,True,10,2,5
fewrel_qwen_rpo_node_y,fewrel_qwen_rpo_node_y_greater,greater,qwen,False,0,0,0
fewrel_qwen_rpo_node_y,fewrel_qwen_rpo_node_y_greater-tg,greater-tg,qwen,True,6,1,1
tacred_gemma_etgpo_node_x,tacred_gemma_etgpo_node_x_lpo,lpo,gemma,True,313,53,70
tacred_gemma_etgpo_node_x,tacred_gemma_etgpo_node_x_gradpo-gen,gradpo-gen,gemma,True,69,9,15
tacred_gemma_etgpo_node_x,tacred_gemma_etgpo_node_x_gradpo-prob,gradpo-prob,gemma,False,0,0,0
tacred_gemma_etgpo_node_x,tacred_gemma_etgpo_node_x_greater,greater,gemma,False,0,0,0
tacred_gemma_etgpo_node_x,tacred_gemma_etgpo_node_x_greater-tg,greater-tg,gemma,False,0,0,0
tacred_gemma_evoprompt_node_x,tacred_gemma_evoprompt_node_x_lpo,lpo,gemma,True,152,27,28
tacred_gemma_evoprompt_node_x,tacred_gemma_evoprompt_node_x_gradpo-gen,gradpo-gen,gemma,False,0,0,0
tacred_gemma_evoprompt_node_x,tacred_gemma_evoprompt_node_x_gradpo-prob,gradpo-prob,gemma,True,7,5,5
tacred_gemma_evoprompt_node_x,tacred_gemma_evoprompt_node_x_greater,greater,gemma,False,0,0,0
tacred_gemma_evoprompt_node_x,tacred_gemma_evoprompt_node_x_greater-tg,greater-tg,gemma,True,5,2,1
tacred_gemma_evoprompt_node_y,tacred_gemma_evoprompt_node_y_lpo,lpo,gemma,True,149,27,34
tacred_gemma_evoprompt_node_y,tacred_gemma_evoprompt_node_y_gradpo-gen,gradpo-gen,gemma,True,21,4,4
tacred_gemma_evoprompt_node_y,tacred_gemma_evoprompt_node_y_gradpo-prob,gradpo-prob,gemma,True,1,1,2
tacred_gemma_evoprompt_node_y,tacred_gemma_evoprompt_node_y_greater,greater,gemma,True,4,1,1
tacred_gemma_evoprompt_node_y,tacred_gemma_evoprompt_node_y_greater-tg,greater-tg,gemma,True,1,1,1
tacred_gemma_rpo_node_x,tacred_gemma_rpo_node_x_lpo,lpo,gemma,True,182,26,33
tacred_gemma_rpo_node_x,tacred_gemma_rpo_node_x_gradpo-gen,gradpo-gen,gemma,True,6,3,6
tacred_gemma_rpo_node_x,tacred_gemma_rpo_node_x_gradpo-prob,gradpo-prob,gemma,False,0,0,0
tacred_gemma_rpo_node_x,tacred_gemma_rpo_node_x_greater,greater,gemma,True,5,1,1
tacred_gemma_rpo_node_x,tacred_gemma_rpo_node_x_greater-tg,greater-tg,gemma,False,0,0,0
tacred_gemma_rpo_node_y,tacred_gemma_rpo_node_y_lpo,lpo,gemma,False,0,0,0
tacred_gemma_rpo_node_y,tacred_gemma_rpo_node_y_gradpo-gen,gradpo-gen,gemma,True,54,12,12
tacred_gemma_rpo_node_y,tacred_gemma_rpo_node_y_gradpo-prob,gradpo-prob,gemma,False,0,0,0
tacred_gemma_rpo_node_y,tacred_gemma_rpo_node_y_greater,greater,gemma,True,7,1,1
tacred_gemma_rpo_node_y,tacred_gemma_rpo_node_y_greater-tg,greater-tg,gemma,True,1,1,1
tacred_qwen_etgpo_node_x,tacred_qwen_etgpo_node_x_lpo,lpo,qwen,True,257,33,50
tacred_qwen_etgpo_node_x,tacred_qwen_etgpo_node_x_gradpo-gen,gradpo-gen,qwen,True,13,2,2
tacred_qwen_etgpo_node_x,tacred_qwen_etgpo_node_x_gradpo-prob,gradpo-prob,qwen,True,179,33,43
tacred_qwen_etgpo_node_x,tacred_qwen_etgpo_node_x_greater,greater,qwen,True,5,1,1
tacred_qwen_etgpo_node_x,tacred_qwen_etgpo_node_x_greater-tg,greater-tg,qwen,True,4,1,1
tacred_qwen_evoprompt_node_x,tacred_qwen_evoprompt_node_x_lpo,lpo,qwen,False,0,0,0
tacred_qwen_evoprompt_node_x,tacred_qwen_evoprompt_node_x_gradpo-gen,gradpo-gen,qwen,True,28,4,5
tacred_qwen_evoprompt_node_x,tacred_qwen_evoprompt_node_x_gradpo-prob,gradpo-prob,qwen,True,25,6,6
tacred_qwen_evoprompt_node_x,tacred_qwen_evoprompt_node_x_greater,greater,qwen,True,3,1,1
tacred_qwen_evoprompt_node_x,tacred_qwen_evoprompt_node_x_greater-tg,greater-tg,qwen,True,3,1,1
tacred_qwen_evoprompt_node_y,tacred_qwen_evoprompt_node_y_lpo,lpo,qwen,True,62,8,8
tacred_qwen_evoprompt_node_y,tacred_qwen_evoprompt_node_y_gradpo-gen,gradpo-gen,qwen,True,20,3,3
tacred_qwen_evoprompt_node_y,tacred_qwen_evoprompt_node_y_gradpo-prob,gradpo-prob,qwen,False,0,0,0
tacred_qwen_evoprompt_node_y,tacred_qwen_evoprompt_node_y_greater,greater,qwen,True,5,1,1
tacred_qwen_evoprompt_node_y,tacred_qwen_evoprompt_node_y_greater-tg,greater-tg,qwen,False,0,0,0
tacred_qwen_rpo_node_x,tacred_qwen_rpo_node_x_lpo,lpo,qwen,True,371,60,85
tacred_qwen_rpo_node_x,tacred_qwen_rpo_node_x_gradpo-gen,gradpo-gen,qwen,True,31,6,7
tacred_qwen_rpo_node_x,tacred_qwen_rpo_node_x_gradpo-prob,gradpo-prob,qwen,True,18,8,16
tacred_qwen_rpo_node_x,tacred_qwen_rpo_node_x_greater,greater,qwen,True,3,1,1
tacred_qwen_rpo_node_x,tacred_qwen_rpo_node_x_greater-tg,greater-tg,qwen,True,3,1,1
tacred_qwen_rpo_node_y,tacred_qwen_rpo_node_y_lpo,lpo,qwen,True,349,48,80
tacred_qwen_rpo_node_y,tacred_qwen_rpo_node_y_gradpo-gen,gradpo-gen,qwen,True,85,13,21
tacred_qwen_rpo_node_y,tacred_qwen_rpo_node_y_gradpo-prob,gradpo-prob,qwen,True,4,1,2
tacred_qwen_rpo_node_y,tacred_qwen_rpo_node_y_greater,greater,qwen,True,5,1,1
tacred_qwen_rpo_node_y,tacred_qwen_rpo_node_y_greater-tg,greater-tg,qwen,True,3,1,1
